source_framework,source_name,target_reactor_name,source_doc_url,notes
WinUI3,Button.OnClick (chained),"Button(..., onClick: ...) — factory named arg",https://learn.microsoft.com/windows/winui/api/microsoft.ui.xaml.controls.primitives.buttonbase.click,"Canonical SKILL.md example. WPF/WinUI agents reach for `.Click +=` or a `.OnClick(...)` fluent chain on ButtonElement; Reactor exposes `onClick` as a factory parameter on Button(...) instead. Important: the agent's fallback to `.OnTapped(...)` is wrong — OnTapped is a gesture event with different input semantics. CS1061 on ButtonElement.OnClick. Not corpus-driven in this drop (cousin pattern is cluster C0102 / BorderElement, count=1); justified structurally via the WinUI 3 Button.Click event docs."
WinUI3,HorizontalAlignment,HAlign,https://learn.microsoft.com/windows/winui/api/microsoft.ui.xaml.frameworkelement.horizontalalignment,"Fluent-method on Element<T>. WinUI 3 reaches for FrameworkElement.HorizontalAlignment property; Reactor uses .HAlign(HorizontalAlignment) shortcut. JaroWinkler distance ≈ 0.55, well below the Tier-2 0.70 floor — fuzzy match misses it. Corpus: cluster C0017 + others, ≈ 22 events combined. CS1061."
WinUI3,VerticalAlignment,VAlign,https://learn.microsoft.com/windows/winui/api/microsoft.ui.xaml.frameworkelement.verticalalignment,"Sister to HAlign. Same fluent-shortcut shape; same Tier-2 fuzzy-match miss. CS1061."
WinUI3,Theme.AppBackground,Theme.SolidBackground,https://learn.microsoft.com/windows/apps/design/style/xaml-theme-resources,"Agent reaches for an English-plausible Theme token (AppBackground / DefaultBackground / WindowBackground / PageBackground). Reactor's canonical surface-background token is Theme.SolidBackground → SolidBackgroundFillColorBaseBrush. Top Phase-3 priority by corpus signal. Corpus: cluster C0019, freq 1.6%, 16 events. CS0117."
WinUI3,Theme.DefaultBackground,Theme.SolidBackground,https://learn.microsoft.com/windows/apps/design/style/xaml-theme-resources,Same cluster (C0019) as AppBackground — same canonical Reactor target. CS0117.
WinUI3,Theme.WindowBackground,Theme.SolidBackground,https://learn.microsoft.com/windows/apps/design/style/xaml-theme-resources,Same cluster as AppBackground — desk-research extension; not yet in corpus but matches the WinUI mental model. CS0117.
WinUI3,Theme.PageBackground,Theme.SolidBackground,https://learn.microsoft.com/windows/apps/design/style/xaml-theme-resources,Same cluster as AppBackground — desk-research extension. CS0117.
WinUI3,Theme.LayerBackground,Theme.LayerFill,https://learn.microsoft.com/windows/apps/design/style/xaml-theme-resources,"WinUI uses ""LayerFillColorDefaultBrush"" — Reactor exposes it as Theme.LayerFill (note: Fill, not Background). CS0117."
WinUI3,Theme.AccentBrush,Theme.Accent,https://learn.microsoft.com/windows/apps/design/style/xaml-theme-resources,Common confusion — WinUI brushes end in `Brush`; Reactor tokens drop the suffix. CS0117.
WinUI3,Theme.AccentFillColorDefault,Theme.Accent,https://learn.microsoft.com/windows/apps/design/style/xaml-theme-resources,"Agent literally pastes the underlying resource key. Reactor abstracts the *FillColor*Default*Brush pattern away — use the short Theme.Accent token. CS0117."
WPF,Margin (TThickness),Margin (double / overloads),https://learn.microsoft.com/dotnet/api/system.windows.frameworkelement.margin,"WPF FrameworkElement.Margin takes a Thickness struct as a property. Reactor uses fluent .Margin(double uniform) / .Margin(h, v) / .Margin(l, t, r, b). CS0117 / CS1061 when agent writes `Margin = new Thickness(...)`."
WPF,Padding (Thickness),Padding (double / overloads),https://learn.microsoft.com/dotnet/api/system.windows.controls.control.padding,Same pattern as Margin. CS0117 / CS1061.
WPF,FontWeights.Bold,.Bold(),https://learn.microsoft.com/dotnet/api/system.windows.fontweights.bold,"WPF property assignment `FontWeight = FontWeights.Bold` becomes the fluent .Bold() on TextBlockElement / Heading / SubHeading. CS0117 (FontWeights doesn't ship) / CS1061."
WPF,FontWeights.SemiBold,.SemiBold(),https://learn.microsoft.com/dotnet/api/system.windows.fontweights.semibold,Sister to Bold. .SemiBold() is TextBlockElement-only. CS0117 / CS1061.
WinUI2,Style,(use fluent shortcut family — Bold / SemiBold / FontSize / Heading factory),https://learn.microsoft.com/uwp/api/windows.ui.xaml.frameworkelement.style,"WinUI 2 / WPF apply named XAML styles via .Style(theme-resource). Reactor expects fluent shortcuts (.SemiBold(), .FontSize(28)) or the Heading / SubHeading / Caption factories. Cluster C0017 territory — CS1061 ""TextBlockElement does not contain a definition for 'Style'""."
WPF,Background (Brush property),.Background(ThemeRef / Brush / string),https://learn.microsoft.com/dotnet/api/system.windows.controls.control.background,"WPF property assignment becomes a fluent method. Diag commonly comes through CS1061 on a *Element receiver."
WinUI3,CornerRadius (CornerRadius struct),.CornerRadius(double) / .CornerRadius(tl,tr,br,bl),https://learn.microsoft.com/windows/winui/api/microsoft.ui.xaml.controls.control.cornerradius,Property-vs-fluent confusion; Reactor takes scalar overloads. CS1061.
WinUI3,RowSpacing (Grid property),(per-child .Margin on Grid children),https://learn.microsoft.com/windows/winui/api/microsoft.ui.xaml.controls.grid.rowspacing,"GridElement does not expose RowSpacing as a fluent method; corpus shows agents shifting to per-child .Margin(...) on Grid children. CS1061 — borderline structural rewrite (Class B documents the lookup; structural rewrites need a Class-A rule)."
WinUI3,ColumnSpacing (Grid property),(per-child .Margin on Grid children),https://learn.microsoft.com/windows/winui/api/microsoft.ui.xaml.controls.grid.columnspacing,Sister to RowSpacing — same structural-rewrite pattern. CS1061.
Silverlight,TextAlignment,.TextAlignment(TextAlignment),https://learn.microsoft.com/previous-versions/windows/silverlight/dotnet-windows-silverlight/ms596031(v=vs.95),"On TextBlockElement specifically. Property in WPF/Silverlight; fluent method in Reactor. Real Reactor surface — TextBlockElement.TextAlignment(TextAlignment) — so the *suggestion* of TextAlignment is right, but only the fluent shape. CS1061."
WPF,Visibility (Visibility enum),.Visible(bool),https://learn.microsoft.com/dotnet/api/system.windows.uielement.visibility,"WPF property + Visibility.Visible/Collapsed becomes the boolean fluent .Visible(true|false). CS1061 / CS0117 (Visibility enum not in Reactor's surface)."
